"timestamp","instance","resource","value"
"2020-06-21 01:25:31","5","3306","1.67"
"2020-06-21 01:25:31","5","3308","0.0"
"2020-06-21 01:25:32","5","3316","4.01"
"2020-06-21 01:26:45","5","3303","-127.0"
"2020-06-21 01:26:45","5","3304","-127.0"
"2020-06-21 01:26:45","5","3307","3.3"
"2020-06-21 01:26:45","5","3305","3.3"
"2020-06-21 01:26:46","5","3306","1.67"
"2020-06-21 01:26:46","5","3308","0.0"
"2020-06-21 01:26:46","5","3316","4.01"
"2020-06-21 01:29:22","3","3303","21.4"
"2020-06-21 01:29:22","3","3304","76.6"
"2020-06-21 01:29:22","3","3307","3.3"
"2020-06-21 01:29:22","3","3305","3.3"
"2020-06-21 01:29:23","3","3306","0.02"
"2020-06-21 01:29:23","3","3308","926.9"
"2020-06-21 01:29:23","3","3316","3.97"
"2020-06-21 01:31:09","5","3303","-127.0"
"2020-06-21 01:31:09","5","3304","-127.0"
"2020-06-21 01:31:09","5","3307","3.3"
"2020-06-21 01:31:09","5","3305","3.3"
"2020-06-21 01:31:10","5","3306","1.67"
"2020-06-21 01:31:10","5","3308","0.0"
"2020-06-21 01:31:10","5","3316","4.01"
"2020-06-21 01:33:33","3","3303","21.4"
"2020-06-21 01:33:33","3","3304","76.6"
"2020-06-21 01:33:33","3","3307","3.3"
"2020-06-21 01:33:33","3","3305","3.3"
"2020-06-21 01:33:33","3","3306","0.02"
"2020-06-21 01:33:34","3","3308","926.8"
"2020-06-21 01:33:34","3","3316","3.97"
"2020-06-21 01:35:33","5","3303","-127.0"
"2020-06-21 01:35:33","5","3304","-127.0"
"2020-06-21 01:35:33","5","3307","3.3"
"2020-06-21 01:35:33","5","3305","3.3"
"2020-06-21 01:35:34","5","3306","1.67"
"2020-06-21 01:35:34","5","3308","0.0"
"2020-06-21 01:35:34","5","3316","4.01"
"2020-06-21 01:37:44","3","3303","21.4"
"2020-06-21 01:37:44","3","3304","76.6"
"2020-06-21 01:37:44","3","3307","3.3"
"2020-06-21 01:37:44","3","3305","3.3"
"2020-06-21 01:37:44","3","3306","0.02"
"2020-06-21 01:37:45","3","3308","926.8"
"2020-06-21 01:37:45","3","3316","3.97"
"2020-06-21 01:39:57","5","3303","-127.0"
"2020-06-21 01:39:57","5","3304","-127.0"
"2020-06-21 01:39:57","5","3307","3.3"
"2020-06-21 01:39:57","5","3305","3.3"
"2020-06-21 01:39:58","5","3306","1.67"
"2020-06-21 01:39:58","5","3308","0.0"
"2020-06-21 01:39:58","5","3316","4.01"
"2020-06-21 01:40:57","3","3303","21.4"
"2020-06-21 01:40:57","3","3304","76.5"
"2020-06-21 01:40:57","3","3307","3.3"
"2020-06-21 01:40:57","3","3305","3.3"
"2020-06-21 01:40:57","3","3306","0.02"
"2020-06-21 01:40:57","3","3308","926.7"
"2020-06-21 01:40:57","3","3316","3.97"
"2020-06-21 01:43:21","5","3303","-127.0"
"2020-06-21 01:43:21","5","3304","-127.0"
"2020-06-21 01:43:21","5","3307","3.3"
"2020-06-21 01:43:21","5","3305","3.3"
"2020-06-21 01:43:21","5","3306","1.69"
"2020-06-21 01:43:21","5","3308","0.0"
"2020-06-21 01:43:22","5","3316","4.01"
"2020-06-21 01:45:13","3","3303","21.4"
"2020-06-21 01:45:13","3","3304","76.4"
"2020-06-21 01:45:13","3","3307","3.3"
"2020-06-21 01:45:13","3","3305","3.3"
"2020-06-21 01:45:13","3","3306","0.02"
"2020-06-21 01:45:13","3","3308","926.7"
"2020-06-21 01:45:14","3","3316","3.97"
"2020-06-21 01:45:35","5","3303","-127.0"
"2020-06-21 01:45:35","5","3304","-127.0"
"2020-06-21 01:45:36","5","3307","3.3"
"2020-06-21 01:45:36","5","3305","3.3"
"2020-06-21 01:45:36","5","3306","1.69"
"2020-06-21 01:45:36","5","3308","0.0"
"2020-06-21 01:45:36","5","3316","4.01"
"2020-06-21 01:46:20","3","3303","21.4"
"2020-06-21 01:46:21","3","3304","76.4"
